,Car,Manufacturer,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model.Year,Origin,honda,ford,toyota,mercedes,bmw
92,corolla 1600 (sw),toyota,27,4,97,88,2100,16.5,72,Japanese,#N/A,#N/A,2100,#N/A,#N/A
96,gran torino,ford,14,8,302,137,4042,14.5,73,American,#N/A,4042,#N/A,#N/A,#N/A
100,ltd,ford,13,8,351,158,4363,13,73,American,#N/A,4363,#N/A,#N/A,#N/A
108,maverick,ford,18,6,250,88,3021,16.5,73,American,#N/A,3021,#N/A,#N/A,#N/A
112,country,ford,12,8,400,167,4906,12.5,73,American,#N/A,4906,#N/A,#N/A,#N/A
116,carina,toyota,20,4,97,88,2279,19,73,Japanese,#N/A,#N/A,2279,#N/A,#N/A
120,pinto,ford,19,4,122,85,2310,18.5,73,American,#N/A,2310,#N/A,#N/A,#N/A
131,mark ii,toyota,20,6,156,122,2807,13.5,73,Japanese,#N/A,#N/A,2807,#N/A,#N/A
134,maverick,ford,21,6,200,NA,2875,17,74,American,#N/A,2875,#N/A,#N/A,#N/A
138,pinto,ford,26,4,122,80,2451,16.5,74,American,#N/A,2451,#N/A,#N/A,#N/A
139,corolla 1200,toyota,32,4,71,65,1836,21,74,Japanese,#N/A,#N/A,1836,#N/A,#N/A
144,gran torino,ford,16,8,302,140,4141,14,74,American,#N/A,4141,#N/A,#N/A,#N/A
147,gran torino (sw),ford,14,8,302,140,4638,16,74,American,#N/A,4638,#N/A,#N/A,#N/A
152,corona,toyota,31,4,76,52,1649,16.5,74,Japanese,#N/A,#N/A,1649,#N/A,#N/A
157,civic,honda,24,4,120,97,2489,15,74,Japanese,2489,#N/A,#N/A,#N/A,#N/A
163,maverick,ford,15,6,250,72,3158,19.5,75,American,#N/A,3158,#N/A,#N/A,#N/A
167,ltd,ford,14,8,351,148,4657,13.5,75,American,#N/A,4657,#N/A,#N/A,#N/A
174,mustang ii,ford,13,8,302,129,3169,12,75,American,#N/A,3169,#N/A,#N/A,#N/A
175,corolla,toyota,29,4,97,75,2171,16,75,Japanese,#N/A,#N/A,2171,#N/A,#N/A
176,pinto,ford,23,4,140,83,2639,17,75,American,#N/A,2639,#N/A,#N/A,#N/A
179,corona,toyota,24,4,134,96,2702,13.5,75,Japanese,#N/A,#N/A,2702,#N/A,#N/A
182,pinto,ford,18,6,171,97,2984,14.5,75,American,#N/A,2984,#N/A,#N/A,#N/A
189,civic cvcc,honda,33,4,91,53,1795,17.5,75,Japanese,1795,#N/A,#N/A,#N/A,#N/A
198,gran torino,ford,14.5,8,351,152,4215,12.8,76,American,#N/A,4215,#N/A,#N/A,#N/A
201,maverick,ford,24,6,200,81,3012,17.6,76,American,#N/A,3012,#N/A,#N/A,#N/A
206,civic,honda,33,4,91,53,1795,17.4,76,Japanese,1795,#N/A,#N/A,#N/A,#N/A
208,granada ghia,ford,18,6,250,78,3574,21,76,American,#N/A,3574,#N/A,#N/A,#N/A
213,corolla,toyota,28,4,97,75,2155,16.4,76,Japanese,#N/A,#N/A,2155,#N/A,#N/A
214,pinto,ford,26.5,4,140,72,2565,13.6,76,American,#N/A,2565,#N/A,#N/A,#N/A
218,mark ii,toyota,19,6,156,108,2930,15.5,76,Japanese,#N/A,#N/A,2930,#N/A,#N/A
219,280s,mercedes,16.5,6,168,120,3820,16.7,76,European,#N/A,#N/A,#N/A,3820,#N/A
222,f108,ford,13,8,302,130,3870,15,76,American,#N/A,3870,#N/A,#N/A,#N/A
224,accord cvcc,honda,31.5,4,98,68,2045,18.5,77,Japanese,2045,#N/A,#N/A,#N/A,#N/A
236,granada,ford,18.5,6,250,98,3525,19,77,American,#N/A,3525,#N/A,#N/A,#N/A
240,thunderbird,ford,16,8,351,149,4335,14.5,77,American,#N/A,4335,#N/A,#N/A,#N/A
243,corolla liftback,toyota,26,4,97,75,2265,18.2,77,Japanese,#N/A,#N/A,2265,#N/A,#N/A
244,mustang ii 2+2,ford,25.5,4,140,89,2755,15.8,77,American,#N/A,2755,#N/A,#N/A,#N/A
250,320i,bmw,21.5,4,121,110,2600,12.8,77,European,#N/A,#N/A,#N/A,#N/A,2600
253,fiesta,ford,36.1,4,98,66,1800,14.4,78,American,#N/A,1800,#N/A,#N/A,#N/A
256,civic cvcc,honda,36.1,4,91,60,1800,16.4,78,Japanese,1800,#N/A,#N/A,#N/A,#N/A
262,fairmont (auto),ford,20.2,6,200,85,2965,15.8,78,American,#N/A,2965,#N/A,#N/A,#N/A
263,fairmont (man),ford,25.1,4,140,88,2720,15.4,78,American,#N/A,2720,#N/A,#N/A,#N/A
272,futura,ford,18.1,8,302,139,3205,11.2,78,American,#N/A,3205,#N/A,#N/A,#N/A
275,corona,toyota,27.5,4,134,95,2560,14.2,78,Japanese,#N/A,#N/A,2560,#N/A,#N/A
278,celica gt liftback,toyota,21.1,4,134,95,2515,14.8,78,Japanese,#N/A,#N/A,2515,#N/A,#N/A
287,accord lx,honda,29.5,4,98,68,2135,16.6,78,Japanese,2135,#N/A,#N/A,#N/A,#N/A
290,fairmont 4,ford,22.3,4,140,88,2890,17.3,79,American,#N/A,2890,#N/A,#N/A,#N/A
294,ltd landau,ford,17.6,8,302,129,3725,13.4,79,American,#N/A,3725,#N/A,#N/A,#N/A
298,country squire (sw),ford,15.5,8,351,142,4054,14.3,79,American,#N/A,4054,#N/A,#N/A,#N/A
305,300d,mercedes,25.4,5,183,77,3530,20.1,79,European,#N/A,#N/A,#N/A,3530,#N/A
318,corolla tercel,toyota,38.1,4,89,60,1968,18.8,80,Japanese,#N/A,#N/A,1968,#N/A,#N/A
322,fairmont,ford,26.4,4,140,88,2870,18.1,80,American,#N/A,2870,#N/A,#N/A,#N/A
326,corona liftback,toyota,29.8,4,134,90,2711,15.5,80,Japanese,#N/A,#N/A,2711,#N/A,#N/A
329,corolla,toyota,32.2,4,108,75,2265,15.2,80,Japanese,#N/A,#N/A,2265,#N/A,#N/A
336,240d,mercedes,30,4,146,67,3250,21.8,80,European,#N/A,#N/A,#N/A,3250,#N/A
337,civic 1500 gl,honda,44.6,4,91,67,1850,13.8,80,Japanese,1850,#N/A,#N/A,#N/A,#N/A
344,mustang cobra,ford,23.6,4,140,NA,2905,14.3,80,American,#N/A,2905,#N/A,#N/A,#N/A
345,accord,honda,32.4,4,107,72,2290,17,80,Japanese,2290,#N/A,#N/A,#N/A,#N/A
351,starlet,toyota,39.1,4,79,58,1755,16.9,81,Japanese,#N/A,#N/A,1755,#N/A,#N/A
353,civic 1300,honda,35.1,4,81,60,1760,16.1,81,Japanese,1760,#N/A,#N/A,#N/A,#N/A
356,tercel,toyota,37.7,4,89,62,2050,17.3,81,Japanese,#N/A,#N/A,2050,#N/A,#N/A
359,escort 4w,ford,34.4,4,98,65,2045,16.2,81,American,#N/A,2045,#N/A,#N/A,#N/A
360,escort 2h,ford,29.9,4,98,65,2380,20.7,81,American,#N/A,2380,#N/A,#N/A,#N/A
363,prelude,honda,33.7,4,107,75,2210,14.4,81,Japanese,2210,#N/A,#N/A,#N/A,#N/A
364,corolla,toyota,32.4,4,108,75,2350,16.8,81,Japanese,#N/A,#N/A,2350,#N/A,#N/A
370,cressida,toyota,25.4,6,168,116,2900,12.6,81,Japanese,#N/A,#N/A,2900,#N/A,#N/A
374,granada gl,ford,20.2,6,200,88,3060,17.1,81,American,#N/A,3060,#N/A,#N/A,#N/A
382,fairmont futura,ford,24,4,140,92,2865,16.4,82,American,#N/A,2865,#N/A,#N/A,#N/A
390,accord,honda,36,4,107,75,2205,14.5,82,Japanese,2205,#N/A,#N/A,#N/A,#N/A
391,corolla,toyota,34,4,108,70,2245,16.9,82,Japanese,#N/A,#N/A,2245,#N/A,#N/A
392,civic,honda,38,4,91,67,1965,15,82,Japanese,1965,#N/A,#N/A,#N/A,#N/A
393,civic (auto),honda,32,4,91,67,1965,15.7,82,Japanese,1965,#N/A,#N/A,#N/A,#N/A
398,granada l,ford,22,6,232,112,2835,14.7,82,American,#N/A,2835,#N/A,#N/A,#N/A
399,celica gt,toyota,32,4,144,96,2665,13.9,82,Japanese,#N/A,#N/A,2665,#N/A,#N/A
402,mustang gl,ford,27,4,140,86,2790,15.6,82,American,#N/A,2790,#N/A,#N/A,#N/A
405,ranger,ford,28,4,120,79,2625,18.6,82,American,#N/A,2625,#N/A,#N/A,#N/A
